Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
gift-card,Carte cadeau,"<p>Vous cherchez à faire un cadeau original, sans décider des dates de livraison ou du type de plantes? </p>
<p>Les cartes cadeaux sont envoyées par email directement. </p>",ParisPousse,Gift Card,"",true,Title,50,,,,,"",0,,1,continue,gift_card,10.00,,false,false,,https://cdn.shopify.com/s/files/1/1063/7402/products/photo-1448832945950-bc85f82891bd.jpg?v=1479156276,,true,,,,,,,,,,,,,,,,,kg,
gift-card,,,,,,,,100,,,,,"",0,,1,continue,gift_card,25.00,,false,false,,,,,,,,,,,,,,,,,,,,,kg,
gift-card,,,,,,,,150,,,,,"",0,,1,continue,gift_card,50.00,,false,false,,,,,,,,,,,,,,,,,,,,,kg,
sapin-nordmann,Sapin - Nordmann,"<div style=""text-align: center;"">Un bout de forêt dans votre salon.</div>
<div style=""text-align: center;"">Cet objet incontournable apportera une atmosphère magique à votre intérieur !</div>
<div style=""text-align: center;"">Nos sapins Nordmann de 1er choix sont réputés pour leurs belles proportions et leur capacité à garder longuement leurs épines.</div>
<div style=""text-align: center;"">Ils sont fournis avec une véritable buche en guise de support.</div>
<p> </p>
<p> </p>",ParisPousse,"","",true,Taille,170 cm,,,,,"",0,,1,deny,manual,69.00,,true,true,"",https://cdn.shopify.com/s/files/1/1063/7402/products/shutterstock_114807562.jpg?v=1478886796,,false,,,,,,,,,,,,,,,,,kg,
sapin-nordmann,,,,,,,,190 cm,,,,,"",0,,1,deny,manual,79.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg,
sapin-nordmann,,,,,,,,240 cm,,,,,"",0,,1,deny,manual,119.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg,
sapin-nordmann,,,,,,,,290 cm,,,,,"",0,,1,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg,
pot-horticole-terre-naturelle,Pot horticole Terre Naturelle,"<h4 style=""text-align: center;""><span>Comment choisir la bonne taille de pot ?</span></h4>
<div><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt=""""></div>
<h4 style=""text-align: center;""><span>La livraison est gratuite</span></h4>
<p style=""text-align: center;"">Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4 style=""text-align: center;""><span>Terre naturelle</span></h4>
<p style=""text-align: center;"">La plupart de nos poteries viennent de Sinalunga, cette petite localité à l'est de Sienne est connue depuis la Renaissance pour son travail de la terra cotta. Le potier Maurizio Benocci, qui dirige l'entreprise familiale, fabrique les modèles traditionnels de l'artisanat toscan. Toutes nos poteries italiennes sont non-gélives et importées directement de Toscane. Les pots sont percés et livrés avec une soucoupe.</p>",ParisPousse,Pot,pot,true,Taille,S - Ø 30 cm - hauteur 28 cm,,,,,"",0,,-3,deny,manual,39.00,,true,true,"",https://cdn.shopify.com/s/files/1/1063/7402/products/My_little_Paris_Pousse.jpg?v=1461092617,,false,Livraison à domicile d'un pot horticole en terre cuite,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,,kg,
pot-horticole-terre-naturelle,,,,,,,,M- Ø 39 cm - hauteur 36 cm,,,,,"",0,,-2,deny,manual,59.00,,true,true,"",https://cdn.shopify.com/s/files/1/1063/7402/products/My_Little_Paris_Pousse_2.jpg?v=1461092671,,,,,,,,,,,,,,,,,,,kg,
pot-horticole-terre-naturelle,,,,,,,,L - Ø 48 cm - hauteur 45 cm,,,,,"",0,,1,deny,manual,69.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg,
